,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
247,2/7/2020 8:50:45,Facultad de Ciencias,Femenino,18,2,Heterosexual,Ateismo,163.0,67.0,1.0,17.0,Sí,1,CCH,15,47.0,Licenciatura,47.0,Licenciatura,Gustavo A. Madero,No,Sí,3,No,0,0,1,0,0,0,1
248,2/7/2020 8:51:14,Facultad de Ciencias,Femenino,18,2,Heterosexual,Ateismo,150.0,54.0,0.0,,No,0,Prepa,21,47.0,Secundaria,42.0,Bachillerato,Tláhuac,No,Sí,1,No,0,1,0,0,1,0,0
249,2/7/2020 8:52:25,Facultad de Ciencias,Masculino,19,4,Heterosexual,Ateismo,182.0,76.0,1.0,18.0,Sí,5,Privada,14,60.0,Doctorado,45.0,Doctorado,Tlalpan,No,Sí,2,No,0,0,1,0,0,0,1
250,2/7/2020 8:53:09,Facultad de Ciencias,Femenino,18,2,Bisexual,Agnosticismo,165.0,60.0,0.0,,No,0,Prepa,29,51.0,Licenciatura,51.0,Doctorado,Tlalpan,No,Sí,2,No,0,1,0,0,1,0,0
251,2/7/2020 8:53:17,Facultad de Ciencias,Femenino,18,2,Bisexual,Agnosticismo,165.0,60.0,0.0,,No,0,Prepa,29,51.0,Licenciatura,51.0,Doctorado,Tlalpan,No,Sí,2,No,0,1,0,0,1,0,0
252,2/7/2020 8:53:30,Facultad de Ciencias,Masculino,20,2,Heterosexual,Agnosticismo,182.0,75.0,3.0,18.0,No,2,Privada,2,58.0,Bachillerato,58.0,Licenciatura,Álvaro Obregón,No,Sí,6,Sí,1,0,0,0,0,0,1
253,2/7/2020 8:54:49,Facultad de Ciencias,Masculino,19,2,Bisexual,Agnosticismo,175.0,63.0,9.0,16.0,No,2,CCH,15,50.0,Licenciatura,42.0,Secundaria,Coyoacán,Sí,Sí,3,No,0,0,1,0,0,0,1
254,2/7/2020 8:55:36,Facultad de Ciencias,Femenino,19,4,Heterosexual,Cristianismo,158.0,65.0,8.0,18.0,Sí,1,Privada,12,45.0,Maestría,46.0,Licenciatura,Coyoacán,Sí,Sí,4,No,0,0,0,0,0,0,1
255,2/7/2020 8:56:17,Facultad de Ciencias,Masculino,23,6,Homosexual,Ateismo,167.0,70.0,500.0,14.0,Sí,6,CCH,29,52.0,Secundaria,48.0,Bachillerato,Estado de México,Sí,Sí,2,Sí,1,0,1,0,1,0,0
256,2/7/2020 8:59:05,Facultad de Ciencias,Masculino,22,8,Heterosexual,Cristianismo,166.0,50.0,2.0,14.0,Sí,2,Prepa,23,59.0,Licenciatura,58.0,Licenciatura,Tlalpan,No,No,0,No,0,0,1,0,1,0,0
